customer_id,is_user,age,contract_type,device_os,uses_selfservice,monthly_spend,support_calls,data_volume_gb
CUST00000,1,37,Postpaid,Android,1,40.73,1,1.64
CUST00001,1,32,Postpaid,Android,1,30.0,0,13.83
CUST00002,1,39,Postpaid,iOS,1,47.45,0,12.22
CUST00003,1,46,Postpaid,Android,1,22.63,2,28.71
CUST00004,1,32,Postpaid,Android,1,72.47,0,0.79
CUST00005,1,32,Prepaid,Android,0,59.76,0,7.16
CUST00006,1,46,Prepaid,Android,0,54.76,0,5.41
CUST00007,1,40,Young,iOS,0,19.14,2,8.89
CUST00008,1,30,Postpaid,Android,1,43.08,1,31.37
CUST00009,1,38,Postpaid,Unknown,1,58.14,2,6.08
CUST00010,1,30,Postpaid,iOS,1,48.9,1,9.26
CUST00011,1,30,Family,Android,1,24.97,0,3.41
CUST00012,1,35,Prepaid,Android,1,30.25,2,2.84
CUST00013,1,18,Prepaid,iOS,1,33.22,2,3.27
CUST00014,1,20,Postpaid,Android,1,30.95,0,0.31
CUST00015,1,29,Prepaid,Android,0,62.93,1,2.68
CUST00016,1,25,Postpaid,Android,1,11.18,1,1.52
CUST00017,1,36,Prepaid,Android,0,49.84,0,4.89
CUST00018,1,26,Family,iOS,1,20.62,0,4.94
CUST00019,1,22,Family,Android,0,25.58,1,11.59
CUST00020,1,45,Prepaid,Android,1,9.85,1,5.58
CUST00021,1,32,Postpaid,iOS,1,31.76,1,4.98
CUST00022,1,34,Family,iOS,1,62.66,0,2.11
CUST00023,1,22,Prepaid,Android,0,43.97,0,15.31
CUST00024,1,29,Postpaid,iOS,1,22.02,0,0.76
CUST00025,1,34,Postpaid,Android,1,55.26,0,32.27
CUST00026,1,24,Postpaid,iOS,0,58.47,0,5.17
CUST00027,1,37,Postpaid,Android,1,41.56,0,1.65
CUST00028,1,29,Postpaid,Android,1,70.52,1,3.5
CUST00029,1,31,Prepaid,iOS,1,52.32,2,0.12
CUST00030,1,29,Postpaid,Android,1,50.24,1,1.46
CUST00031,1,48,Postpaid,Unknown,1,27.95,0,3.27
CUST00032,1,33,Prepaid,Android,1,49.41,4,6.47
CUST00033,1,25,Young,iOS,1,43.25,0,1.11
CUST00034,1,40,Prepaid,iOS,1,47.8,0,9.02
CUST00035,1,24,Postpaid,Android,0,29.73,3,14.88
CUST00036,1,35,Family,iOS,1,41.92,0,6.8
CUST00037,1,18,Family,Android,1,27.75,2,2.82
CUST00038,1,23,Postpaid,iOS,1,7.79,0,1.04
CUST00039,1,35,Postpaid,Android,1,54.97,0,0.13
CUST00040,1,39,Prepaid,iOS,1,17.46,0,10.53
CUST00041,1,35,Young,Android,1,41.61,2,7.92
CUST00042,1,33,Family,Android,1,45.0,1,5.17
CUST00043,1,31,Young,Android,0,44.9,0,0.86
CUST00044,1,22,Prepaid,Android,1,35.75,2,1.86
CUST00045,1,28,Prepaid,iOS,1,44.07,0,13.51
CUST00046,1,30,Postpaid,iOS,1,47.06,0,5.23
CUST00047,1,42,Postpaid,iOS,1,51.02,0,26.34
CUST00048,1,36,Postpaid,Android,0,66.0,1,83.91
CUST00049,1,19,Prepaid,Android,1,43.51,1,12.9
CUST00050,1,36,Prepaid,Android,1,40.96,1,2.39
CUST00051,1,30,Prepaid,iOS,1,26.4,0,2.1
CUST00052,1,28,Postpaid,Unknown,1,46.54,2,2.34
CUST00053,1,38,Prepaid,Android,1,50.01,1,34.61
CUST00054,1,42,Postpaid,Android,1,37.12,3,3.27
CUST00055,1,41,Postpaid,Android,1,48.17,0,9.81
CUST00056,1,27,Prepaid,iOS,1,35.61,2,25.56
CUST00057,1,31,Prepaid,iOS,1,50.06,2,13.7
CUST00058,1,36,Family,iOS,1,53.69,0,7.28
CUST00059,1,41,Postpaid,Android,1,53.48,3,1.48
CUST00060,1,30,Postpaid,iOS,1,41.77,2,1.54
CUST00061,1,32,Postpaid,iOS,0,24.4,1,5.42
CUST00062,1,25,Postpaid,Android,1,30.82,0,24.28
CUST00063,1,24,Young,Android,0,48.93,1,18.79
CUST00064,1,40,Prepaid,Android,1,76.73,0,1.45
CUST00065,1,44,Young,Android,0,34.89,0,2.71
CUST00066,1,33,Postpaid,iOS,1,46.84,0,7.11
CUST00067,1,42,Young,Android,1,31.66,0,5.19
CUST00068,1,36,Postpaid,iOS,0,25.39,1,1.02
CUST00069,1,28,Young,Android,0,29.86,2,3.69
CUST00070,1,36,Postpaid,Android,1,8.76,1,24.76
CUST00071,1,46,Postpaid,Android,1,60.3,0,24.2
CUST00072,1,33,Prepaid,Android,1,6.55,2,6.56
CUST00073,1,46,Family,Android,0,36.04,1,8.07
CUST00074,1,13,Postpaid,Android,1,22.33,3,2.01
CUST00075,1,40,Postpaid,Android,1,26.73,0,10.84
CUST00076,1,34,Young,Android,0,60.65,0,0.43
CUST00077,1,31,Postpaid,Android,0,43.02,0,1.99
CUST00078,1,34,Postpaid,Android,1,25.52,0,0.05
CUST00079,1,18,Postpaid,Android,1,31.16,0,3.9
CUST00080,1,32,Postpaid,iOS,0,28.52,2,15.19
CUST00081,1,36,Family,Android,1,39.35,1,32.37
CUST00082,1,45,Prepaid,iOS,0,42.59,0,8.82
CUST00083,1,29,Prepaid,Android,1,68.43,1,10.93
CUST00084,1,27,Family,iOS,1,11.26,2,2.44
CUST00085,1,29,Postpaid,Android,1,39.48,1,5.88
CUST00086,1,41,Postpaid,iOS,1,35.27,1,10.67
CUST00087,1,36,Postpaid,Android,0,54.2,0,5.5
CUST00088,1,29,Postpaid,iOS,1,45.32,2,0.74
CUST00089,1,38,Postpaid,Android,1,48.86,1,10.8
CUST00090,1,34,Family,Android,1,45.18,4,1.98
CUST00091,1,41,Prepaid,iOS,1,26.02,1,0.82
CUST00092,1,28,Postpaid,Android,1,58.17,0,5.2
CUST00093,1,31,Prepaid,Android,1,51.98,3,0.62
CUST00094,1,30,Prepaid,Android,1,53.73,0,7.94
CUST00095,1,22,Family,iOS,0,58.96,0,8.18
CUST00096,1,36,Young,Unknown,0,46.27,1,2.37
CUST00097,1,36,Prepaid,Android,1,62.21,1,26.71
CUST00098,1,34,Prepaid,iOS,1,45.66,1,13.92
CUST00099,1,32,Prepaid,Android,1,36.71,4,0.93
CUST00100,1,22,Prepaid,Android,1,39.9,0,11.04
CUST00101,1,30,Postpaid,iOS,0,39.64,1,3.48
CUST00102,1,31,Postpaid,iOS,1,32.21,3,11.1
CUST00103,1,27,Prepaid,iOS,1,64.48,0,12.91
CUST00104,1,32,Postpaid,Android,1,44.44,0,1.31
CUST00105,1,37,Postpaid,Android,1,41.42,0,8.67
CUST00106,1,49,Prepaid,Android,1,45.82,0,15.89
CUST00107,1,35,Postpaid,Android,1,84.7,1,3.13
CUST00108,1,36,Prepaid,Android,1,23.02,1,0.67
CUST00109,1,33,Prepaid,iOS,0,27.32,0,0.22
CUST00110,1,18,Family,iOS,0,19.29,0,0.93
CUST00111,1,33,Postpaid,Android,0,36.51,0,0.03
CUST00112,1,34,Postpaid,Android,0,43.68,0,3.17
CUST00113,1,53,Prepaid,iOS,1,33.02,0,2.85
CUST00114,1,32,Young,Android,0,31.9,2,0.94
CUST00115,1,36,Family,iOS,1,42.14,1,8.42
CUST00116,1,33,Postpaid,Android,1,32.47,1,38.53
CUST00117,1,24,Postpaid,Android,0,44.65,0,18.5
CUST00118,1,43,Family,Unknown,1,56.71,0,2.33
CUST00119,1,40,Postpaid,Android,0,50.16,0,11.76
CUST00120,1,40,Prepaid,Android,1,53.22,3,22.1
CUST00121,1,26,Postpaid,Android,0,56.29,1,18.95
CUST00122,1,45,Postpaid,iOS,1,44.24,2,17.27
CUST00123,1,22,Postpaid,iOS,1,37.62,2,12.35
CUST00124,1,38,Postpaid,Android,1,28.42,0,2.77
CUST00125,1,51,Prepaid,Android,0,34.13,2,0.7
CUST00126,1,26,Family,iOS,1,32.14,1,5.35
CUST00127,1,29,Postpaid,Android,1,50.98,1,0.45
CUST00128,1,34,Young,iOS,1,45.2,1,51.88
CUST00129,1,29,Postpaid,Android,1,50.45,1,3.55
CUST00130,1,21,Prepaid,Android,1,22.59,2,25.43
CUST00131,1,34,Postpaid,iOS,1,61.48,2,11.87
CUST00132,1,25,Family,Android,0,33.6,1,4.24
CUST00133,1,37,Prepaid,iOS,1,23.5,0,1.01
CUST00134,1,26,Prepaid,Android,1,33.41,2,2.17
CUST00135,1,46,Young,Android,1,77.26,0,8.94
CUST00136,1,27,Prepaid,Unknown,1,34.18,2,14.17
CUST00137,1,31,Family,Android,1,35.12,1,31.08
CUST00138,1,40,Prepaid,iOS,0,37.12,0,1.13
CUST00139,1,24,Family,Android,1,37.77,1,1.36
CUST00140,1,35,Prepaid,iOS,1,28.28,0,0.35
CUST00141,1,44,Postpaid,iOS,1,42.15,1,2.41
CUST00142,1,21,Prepaid,Android,1,56.13,1,13.77
CUST00143,1,35,Postpaid,iOS,1,44.71,1,1.77
CUST00144,1,36,Prepaid,iOS,1,23.33,1,6.35
CUST00145,1,40,Postpaid,Android,0,34.83,0,4.73
CUST00146,1,24,Prepaid,Android,1,31.73,0,3.15
CUST00147,1,23,Postpaid,Android,1,40.79,1,7.71
CUST00148,1,38,Postpaid,Android,1,59.96,1,5.58
CUST00149,1,36,Postpaid,Android,1,37.77,2,3.26
CUST00150,1,36,Family,Android,0,38.68,3,9.34
CUST00151,1,36,Postpaid,Android,1,66.66,2,2.63
CUST00152,1,28,Postpaid,iOS,0,53.14,0,8.24
CUST00153,1,35,Prepaid,Android,1,48.61,2,25.22
CUST00154,1,36,Prepaid,iOS,1,69.37,1,10.44
CUST00155,1,28,Postpaid,Android,1,47.35,0,4.34
CUST00156,1,48,Postpaid,Android,1,10.2,1,11.01
CUST00157,1,37,Postpaid,iOS,1,52.49,2,13.25
CUST00158,1,24,Family,Android,1,16.12,0,3.15
CUST00159,1,39,Postpaid,Android,1,46.78,1,9.77
CUST00160,1,26,Postpaid,Android,1,14.29,1,4.56
CUST00161,1,40,Postpaid,Android,1,33.0,0,13.65
CUST00162,1,43,Postpaid,Android,1,34.54,1,2.8
CUST00163,1,27,Prepaid,Unknown,0,28.45,0,22.21
CUST00164,1,41,Postpaid,Android,1,34.77,0,6.84
CUST00165,1,37,Postpaid,iOS,0,55.49,1,3.49
CUST00166,1,40,Postpaid,iOS,1,29.29,2,4.35
CUST00167,1,49,Postpaid,Android,1,48.18,1,3.42
CUST00168,1,32,Postpaid,Android,1,25.52,1,1.26
CUST00169,1,27,Young,iOS,1,37.16,0,0.57
CUST00170,1,26,Prepaid,iOS,1,44.86,0,3.11
CUST00171,1,27,Family,Android,1,25.05,4,4.91
CUST00172,1,33,Young,Android,1,20.32,1,3.59
CUST00173,1,36,Prepaid,Android,1,47.38,1,0.11
CUST00174,1,36,Postpaid,Android,0,56.85,2,6.92
CUST00175,1,40,Prepaid,Android,1,38.81,2,1.25
CUST00176,1,34,Young,iOS,1,33.14,0,1.9
CUST00177,1,45,Prepaid,Android,1,42.34,0,1.03
CUST00178,1,31,Prepaid,iOS,0,40.83,0,5.88
CUST00179,1,55,Postpaid,iOS,1,43.64,3,0.8
CUST00180,1,39,Young,Android,1,5.0,0,2.37
CUST00181,1,27,Prepaid,Android,0,23.96,1,4.81
CUST00182,1,25,Family,iOS,0,27.32,2,1.47
CUST00183,1,37,Postpaid,iOS,1,42.26,1,4.73
CUST00184,1,32,Postpaid,iOS,1,42.79,1,3.36
CUST00185,1,39,Postpaid,Android,0,49.54,2,15.76
CUST00186,1,37,Prepaid,Android,0,43.86,0,12.67
CUST00187,1,33,Postpaid,Android,1,20.49,0,39.53
CUST00188,1,27,Postpaid,Android,1,61.71,0,6.02
CUST00189,1,21,Family,iOS,1,59.08,1,6.85
CUST00190,1,30,Postpaid,Android,1,21.13,1,23.45
CUST00191,1,40,Young,iOS,1,44.99,2,4.08
CUST00192,1,35,Postpaid,Android,1,31.07,2,6.49
CUST00193,1,24,Young,iOS,0,42.08,1,3.81
CUST00194,1,35,Prepaid,Unknown,0,55.8,0,6.31
CUST00195,1,37,Family,Android,1,71.95,1,0.67
CUST00196,1,26,Family,iOS,1,51.27,1,12.25
CUST00197,1,35,Postpaid,Android,1,44.42,0,33.75
CUST00198,1,34,Postpaid,Android,1,34.9,1,0.54
CUST00199,1,24,Postpaid,iOS,1,42.73,1,12.92
CUST00200,1,36,Prepaid,iOS,1,60.4,3,2.21
CUST00201,1,38,Young,Android,1,39.33,1,1.76
CUST00202,1,42,Postpaid,Android,1,26.71,0,9.46
CUST00203,1,42,Prepaid,iOS,0,15.7,0,0.36
CUST00204,1,22,Postpaid,iOS,1,47.7,1,4.98
CUST00205,1,26,Young,Android,1,43.71,1,0.01
CUST00206,1,38,Family,iOS,0,30.31,1,6.47
CUST00207,1,38,Postpaid,Android,1,55.39,1,4.96
CUST00208,1,38,Postpaid,Android,1,33.67,3,19.77
CUST00209,1,64,Postpaid,Android,1,37.98,0,10.19
CUST00210,1,38,Prepaid,Android,0,39.75,1,1.08
CUST00211,1,43,Prepaid,iOS,1,34.74,0,3.5
CUST00212,1,41,Postpaid,Android,1,43.54,1,21.46
CUST00213,1,39,Postpaid,Unknown,1,57.27,0,10.34
CUST00214,1,31,Postpaid,Android,1,22.86,1,7.22
CUST00215,1,40,Prepaid,iOS,1,47.33,0,6.55
CUST00216,1,27,Prepaid,iOS,1,42.58,1,4.06
CUST00217,1,32,Postpaid,iOS,0,42.31,1,7.04
CUST00218,1,30,Prepaid,iOS,0,53.08,1,11.82
CUST00219,1,34,Prepaid,Android,1,40.74,1,1.09
CUST00220,1,52,Postpaid,iOS,1,47.2,0,28.01
CUST00221,1,19,Postpaid,iOS,1,50.74,1,2.19
CUST00222,1,39,Prepaid,Android,0,32.43,2,4.75
CUST00223,1,21,Family,iOS,1,44.49,1,0.18
CUST00224,1,30,Postpaid,Android,1,36.24,3,6.39
CUST00225,1,42,Postpaid,Android,0,38.01,2,3.85
CUST00226,1,34,Postpaid,iOS,0,35.17,1,2.3
CUST00227,1,25,Prepaid,Android,1,47.07,0,33.88
CUST00228,1,28,Postpaid,iOS,0,41.22,1,4.47
CUST00229,1,39,Postpaid,Android,0,45.92,1,4.28
CUST00230,1,28,Prepaid,Android,1,39.74,0,4.98
CUST00231,1,35,Prepaid,Android,1,15.94,2,0.99
CUST00232,1,34,Postpaid,Android,0,40.47,0,4.0
CUST00233,1,28,Postpaid,iOS,1,40.95,1,3.28
CUST00234,1,51,Prepaid,Android,1,43.64,0,5.01
CUST00235,1,39,Postpaid,Android,1,31.09,0,15.54
CUST00236,1,17,Postpaid,Android,0,22.07,0,1.71
CUST00237,1,35,Young,Android,0,49.37,1,7.49
CUST00238,1,28,Postpaid,iOS,1,35.9,0,0.31
CUST00239,1,40,Prepaid,Android,0,42.57,1,3.05
CUST00240,1,27,Family,iOS,0,35.78,2,5.12
CUST00241,1,33,Postpaid,iOS,0,39.91,1,0.62
CUST00242,1,38,Postpaid,iOS,1,33.26,1,6.28
CUST00243,1,40,Prepaid,iOS,1,25.48,1,2.97
CUST00244,1,24,Young,Android,1,47.11,0,39.48
CUST00245,1,31,Family,Android,1,30.95,0,7.98
CUST00246,1,30,Prepaid,iOS,1,42.46,1,2.24
CUST00247,1,28,Postpaid,iOS,0,46.16,0,0.87
CUST00248,1,48,Prepaid,iOS,1,31.2,2,0.33
CUST00249,1,37,Postpaid,iOS,0,21.94,0,0.76
CUST00250,1,23,Postpaid,Android,1,76.39,1,9.12
CUST00251,1,41,Postpaid,Android,1,32.08,3,15.45
CUST00252,1,50,Postpaid,iOS,1,49.35,0,1.36
CUST00253,1,42,Prepaid,iOS,1,69.09,0,4.12
CUST00254,1,21,Postpaid,Android,1,51.85,2,3.5
CUST00255,1,30,Postpaid,iOS,0,35.49,2,8.27
CUST00256,1,44,Postpaid,Android,1,38.99,0,1.61
CUST00257,1,28,Young,Android,1,27.51,0,24.52
CUST00258,1,37,Prepaid,iOS,1,53.23,2,10.43
CUST00259,1,40,Postpaid,iOS,1,48.49,0,24.82
CUST00260,1,26,Postpaid,Android,1,32.28,0,2.6
CUST00261,1,33,Postpaid,Android,1,24.37,1,7.09
CUST00262,1,8,Family,Android,1,20.18,1,10.54
CUST00263,1,25,Prepaid,iOS,0,54.8,1,9.93
CUST00264,1,31,Prepaid,Android,1,41.81,2,0.17
CUST00265,1,24,Prepaid,iOS,0,43.22,1,50.97
CUST00266,1,47,Postpaid,iOS,1,27.66,1,21.06
CUST00267,1,22,Young,iOS,0,18.05,2,1.02
CUST00268,1,30,Prepaid,Android,1,54.44,1,6.27
CUST00269,1,35,Postpaid,iOS,1,40.63,1,3.02
CUST00270,1,45,Postpaid,Android,1,53.61,1,16.89
CUST00271,1,22,Prepaid,Android,0,34.21,0,9.57
CUST00272,1,43,Family,Android,1,36.45,0,2.02
CUST00273,1,34,Postpaid,Android,1,50.7,1,0.28
CUST00274,1,26,Young,iOS,1,50.99,0,2.76
CUST00275,1,37,Prepaid,Android,1,51.96,0,0.31
CUST00276,1,35,Postpaid,Android,1,35.57,0,1.22
CUST00277,1,29,Postpaid,Unknown,1,49.22,0,8.09
CUST00278,1,34,Postpaid,Android,1,56.64,1,10.93
CUST00279,1,30,Prepaid,iOS,1,38.43,1,5.05
CUST00280,1,34,Postpaid,Android,1,32.3,1,7.34
CUST00281,1,39,Postpaid,Android,1,60.14,0,1.36
CUST00282,1,46,Prepaid,iOS,1,30.18,1,3.05
CUST00283,1,24,Prepaid,Android,0,49.44,0,9.98
CUST00284,1,51,Postpaid,Android,1,39.12,1,3.63
CUST00285,1,18,Postpaid,Android,0,12.38,1,3.43
